@id,@lat,@lon,name,historic,tourism
367853384,41.9936737,21.433319,Питу Гули,monument,
367860262,42.0032812,21.4233737,Гоце Делчев,monument,
369750026,42.0008716,21.4338778,Влез на Скопското кале,city_gate,
373488269,42.0195738,20.960153,Тетовско Кале,ruins,
382635381,41.4325212,22.0228463,Костурница,monument,attraction
390757439,41.1155576,20.7914836,Лихнид,archaeological_site,
410115784,41.3377228,21.257898,Мечкин Камен,monument,attraction
410115785,41.3880768,21.2273776,Слива,monument,
444334991,41.9188903,22.4069917,Споменик на слободата,monument,attraction
473902990,42.2916094,22.3507979,WWII Battle - 17th Macedonian Brigade ws Bulgarian army,monument,
495558836,41.1776616,20.679835,Споменик на Револуцијата,monument,
908273421,41.9959035,21.4314474,Споменик на Александар Македонски,monument,artwork
1452854994,41.6346281,20.5620379,Lukov,memorial,
1475328742,42.0586697,21.3527926,Rimska crkva,archaeological_site,
1475331129,42.0843452,21.3548716,Давина Кула,archaeological_site,
1475333181,42.0587494,21.2786993,Голема Кула - Кучково,archaeological_site,
1475333182,42.0585741,21.2844339,Мала Кула - Кучково,archaeological_site,
1612143468,42.1102442,22.5899869,Куцолиница / 86,boundary_stone,
1612155052,42.3089612,22.3705411,Китка,boundary_stone,
1696045002,42.1580093,22.5162744,Руен,boundary_stone,
1708412126,42.1355189,21.7200501,Zena,monument,
1734593430,42.0766913,21.398848,Gradiste kaj s.Brazda,archaeological_site,
1831180502,41.9505936,21.2991931,Манастир Св. Андреј,monument,attraction
1857486060,42.0017233,21.4617772,Филип Втори,monument,
1859114111,41.9984602,21.4349949,Филип II Македонски,memorial,artwork
1866944575,41.9983057,21.4254968,Св. Климент Охридски,memorial,artwork
1867151652,41.9993163,21.437162,Скендербег,memorial,artwork
1867606193,40.8570205,21.1195933,Маркова Нога,monument,
1879436069,42.1706665,21.809838,Костоперска Карпа,archaeological_site,attraction
1879461479,42.2633818,21.953118,Кокино,archaeological_site,attraction
1995790447,42.1355778,21.7194275,Јосип Броз - Тито,monument,
2015829492,41.4094203,22.2541295,Марков Град,ruins,
2024605291,42.2782511,21.8500367,Меморијален центар АСНОМ,memorial,attraction
2026119373,41.794932,20.9108574,Sahat Kula,monument,
2026891418,42.1068795,21.1545235,Орашко Кале,ruins,
2026911763,41.5119269,20.9702432,Саат кула,monument,
2026930302,41.7140782,21.7840512,Саат кула,monument,
2026975410,41.2775784,22.4937679,Isar / Idomenae,archaeological_site,
2136716883,42.1346962,21.7192303,Куде сат,monument,
2138788013,41.4293251,21.7629669,Ножот,memorial,
2189840728,41.3451182,21.5519842,Народен Херој Кузман Јосифоски-Питу,monument,
2189840898,41.3451518,21.554267,Пеце Атанасоски,monument,
2189840958,41.3452617,21.5522173,Ѓорче Петров,monument,
2268500979,41.3748344,21.2480535,Питу Гули,tomb,
2268500995,41.3748686,21.2482546,Тоше Проески,tomb,
2269431831,41.3736665,21.2463296,Никола Карев,monument,
2316156278,41.024615,21.3368929,Стефан Наумов-Стив,memorial,
2327281126,41.3649692,21.2497316,Споменик на Питу Гули,monument,
2330629820,41.3653856,21.2484409,Наум Наумоски-Борче,monument,
2350137461,41.5516379,21.9751675,Римски театар,ruins,
2360747213,41.1458586,22.5001795,Два Коња,monument,
2373710718,42.0836218,21.9862589,Цоцев Камен,archaeological_site,attraction
